"""","総 数_組合数","和歌山市_組合数","海南市海草郡_組合数","岩出市紀の川市_組合数","橋本市伊都郡_組合数","有田市有田郡_組合数","御坊市日高郡_組合数"," 田辺市西牟婁郡_組合数"," 新宮市東牟婁郡_組合数","総 数_組合員数(人)","和歌山市_組合員数(人)","海南市海草郡_組合員数(人)","岩出市紀の川市_組合員数(人)","橋本市伊都郡_組合員数(人)","有田市有田郡_組合員数(人)","御坊市日高郡_組合員数(人)"," 田辺市西牟婁郡_組合員数(人)"," 新宮市東牟婁郡_組合員数(人)"
"昭和60年(1985年)","627.0","271.0","43.0","30.0","43.0","47.0","54.0","78.0","61.0","86005.0","49120.0","5557.0","2420.0","4577.0","5201.0","5352.0","8540.0","5238.0"
"平成 2年(1990年)","641.0","272.0","38.0","32.0","44.0","43.0","63.0","88.0","61.0","79444.0","45650.0","4826.0","2696.0","4042.0","4264.0","5315.0","8083.0","4568.0"
"平成 7年(1995年)","623.0","274.0","36.0","27.0","48.0","42.0","58.0","83.0","55.0","78853.0","48036.0","3236.0","2540.0","4573.0","4331.0","4890.0","7513.0","3734.0"
"平成12年(2000年)","616.0","281.0","30.0","29.0","45.0","38.0","52.0","84.0","57.0","68058.0","39930.0","2844.0","2797.0","4146.0","3841.0","4429.0","6596.0","3475.0"
"平成17年(2005年)","527.0","256.0","24.0","31.0","38.0","35.0","34.0","61.0","48.0","56169.0","32813.0","2078.0","3263.0","3123.0","3427.0","3325.0","5159.0","2981.0"
"","","","","","","","","","","","","","","","","","",""
"平成20年(2008年)","493.0","243.0","20.0","26.0","35.0","33.0","34.0","59.0","43.0","52042.0","30433.0","1863.0","3260.0","2794.0","3079.0","3054.0","4685.0","2874.0"
"平成21年(2009年)","474.0","239.0","19.0","25.0","34.0","31.0","31.0","58.0","37.0","51425.0","30328.0","1801.0","2958.0","3104.0","3015.0","2833.0","5031.0","2355.0"
"平成22年(2010年)","473.0","237.0","19.0","30.0","33.0","31.0","32.0","57.0","34.0","51032.0","30597.0","1756.0","2778.0","2875.0","3003.0","2824.0","4909.0","2290.0"
"","","","","","","","","","","","","","","","","","",""
"平成23年(2011年)","464.0","230.0","19.0","31.0","33.0","31.0","32.0","57.0","31.0","49691.0","29428.0","1713.0","2952.0","2841.0","3036.0","2791.0","4758.0","2172.0"
"平成24年(2012年)","460.0","235.0","19.0","30.0","30.0","29.0","33.0","53.0","31.0","50425.0","30597.0","1728.0","2727.0","2799.0","2573.0","3114.0","4749.0","2138.0"
"平成25年(2013年)","462.0","237.0","20.0","30.0","30.0","29.0","33.0","51.0","32.0","49616.0","29793.0","1850.0","2708.0","2732.0","2686.0","3048.0","4702.0","2097.0"
"平成26年(2014年)","451.0","231.0","20.0","31.0","30.0","28.0","31.0","49.0","31.0","49443.0","29958.0","1858.0","2641.0","2690.0","2606.0","2966.0","4607.0","2117.0"
